id	name	description	microscopy	celltype	component	doi	organism
11	35465	Fenestrae of a Brown Rat arranged in sieve plates. Original magnification is 20,000x, a good indication of liver sinudosial endothelial cells (LESCs).	scanning electron microscopy (SEM)	None	None	doi:10.7295/W9CIL35465	Rattus norvegicus
12	39346	Scanning electron micrograph of passion flower pollen.  A related image is CIL:39344.	scanning electron microscopy (SEM)	pollen	pollen wall	doi:10.7295/W9CIL39346	Passiflora edulis
13	40651	Scanning electron micrograph of collagen fibrils, showing their characteristic "D banding" morphology. These collagen fibrils are present in the joint capsule tissue that surrounds the knee.	scanning electron microscopy (SEM)	None	fibrillar collagen	doi:10.7295/W9CIL40651	None
14	39049	Colorized scanning electron micrograph of a lung cancer cell grown in culture.	scanning electron microscopy (SEM)	lung cancer cell	cell surface	doi:10.7295/W9CIL39049	None
15	40589	This is a scanning electron micrograph of a Hibiscus pollen grain.	scanning electron microscopy (SEM)	pollen	pollen coat	doi:10.7295/W9CIL40589	Malvaceae
16	40619	Scanning electron micrograph of a diatom frustule. The frustule is the hard and porous cell wall or external layer of diatoms.	scanning electron microscopy (SEM)	None	frustule	doi:10.7295/W9CIL40619	Bacillariophyta
17	39358	Scanning electron microscope image of corn leaf surface.	scanning electron microscopy (SEM)	None	None	doi:10.7295/W9CIL39358	Zea mays
18	40656	Scanning electron micrograph of a diatom showing the two silica based frustule (cell walls).  Image also illustrates the regular pattern on the frustule.	scanning electron microscopy (SEM)	None	frustule	doi:10.7295/W9CIL40656	Bacillariophyta
19	40656	Scanning electron micrograph of a diatom showing the two silica based frustule (cell walls).  Image also illustrates the regular pattern on the frustule.	scanning electron microscopy (SEM)	None	frustule	doi:10.7295/W9CIL40656	Bacillariophyta
20	36713	The postoral fibers are also heavily labeled by anti-b-tubulin. The cell was lightly fixed, placed in metylcellulose and frozen in liquid nitrogen. Sections were produced at -100°C before thawing and treated with the b-tubulin antibody followed by immunogold labeled antibody to IgG. TEM taken on 2/25/94 by R. Allen with Zeiss 10A operating at 80kV. Neg. 9,780X. Bar = 0.5µm.	transmission electron microscopy (TEM)	cell by organism	oral apparatus	doi:10.7295/W9CIL36713	Paramecium multimicronucleatum
21	34754	A view of the left side of the buccal cavity. It is covered by the plasma membrane, alveoli and a single partial layer of microtubules. Specialized cytoplasm lines the posterior end of this border. Oral ribs contain microtubular ribbons and interdigitate with alveolar tubes. TEM taken on 8/21/67 by R. Allen with Philips 200 operating at 60kV. Neg. 12,400X. Bar = 0.5µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34745) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	transmission electron microscopy (TEM)	cell by organism	oral apparatus	doi:10.7295/W9CIL34754	Tetrahymena pyriformis
22	34732	Mucocysts have a herringbone pattern of subunits and are surrounded by a membrane that fuses with the plasma membrane. When the mucocyst content is extruded the content expands (see Hausmann, Protistologica 8:401-412, 1972 for details. TEM taken on 8/12/67 by R. Allen with Philips 200 operating at 60kV. Neg. 19,200X. Bar = 0.2µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34731) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	transmission electron microscopy (TEM)	cell by organism	cell cortex	doi:10.7295/W9CIL34732	Tetrahymena pyriformis
23	12075	High resolution view of the bundles of microtubules that arise from along the elaborately woven blanket of the filamentous reticulum that covers the ribbed wall of the right side of the buccal cavity. A bundle forms beneath the bottom of each rib of the ribbed wall and runs parallel to the depression of the rib. These bundles then extend beyond the posterior terminus of the buccal cavity where they are then collectively called the postoral fiber. In addition single microtubules seem to lie deeper in the cytosol at approximately right angles to the bundles. TEM taken on 7/5/96 by R. Allen with Zeiss 10A operating at 80kV. Neg. 9,780X.Cells were lightly fixed with 0.25% glutaraldehyde and infiltrated with 2.3M sucrose before being frozen in liquid nitrogen and thin sectioned at a temperature of –100°C at approximately 75nm thickness. Frozen sections from these preparations were then thawed, washed, and exposed to a monoclonal primary antibody that was raised in mice or rabbit/goat and to colloidal gold-complexed goat-anti-mouse/rabbit secondary antibodies. Further details of preparation are detailed in Methods Cell Biol. 2010;96:143-73. The raw film was scanned with a  Nikon Coolscan 9000ED. This image is best used for quantitative analysis.  Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	transmission electron microscopy (TEM)	cell by organism	cell cortex	doi:10.7295/W9CIL12075	Paramecium tetraurelia
24	1313	High resolution image of the dividing macronucleus shows it may be porous to microtubules. Segments of microtubules are found both outside and inside the nuclear envelope in this figure although one cannot follow a single microtubule through the nuclear envelope. The section is immunogold labeled with anti-b-tubulin. TEM taken on 7/5/96 by R. Allen with Zeiss 10A operating at 80kV. Neg. 12,000X. Cells were lightly fixed with 0.25% glutaraldehyde and infiltrated with 2.3M sucrose before being frozen in liquid nitrogen and thin sectioned at a temperature of –100°C at approximately 75nm thickness. Frozen sections from these preparations were then thawed, washed, and exposed to a monoclonal primary antibody that was raised in mice or rabbit/goat and to colloidal gold-complexed goat-anti-mouse/rabbit secondary antibodies. Further details of preparation are detailed in Methods Cell Biol. 2010;96:143-73. The raw film was scanned with a  Nikon Coolscan 9000ED. This image is best used for quantitative analysis.  Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	transmission electron microscopy (TEM)	cell by organism	macronucleus	doi:10.7295/W9CIL1313	Paramecium tetraurelia
25	34613	An image of the nucleoli of the macronucleus. Nucleoli have a core of DNA that contains the genes that are transcribed into ribosomal RNA. Assembly of the ribosomal subunits from this processed RNA and from proteins transported into the nucleus through the pores occurs in the nucleoli. A concentric stack of rough ER encircles a mitochondrion. TEM taken on 8/16/67 by R. Allen with Philips 200 operating at 60kV. Neg. 7,200X. Bar = 1µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34537) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	transmission electron microscopy (TEM)	cell by organism	macronucleus	doi:10.7295/W9CIL34613	Tetrahymena pyriformis
26	39139	Receptor mediated endocytosis is a process in which extracellular molecules are taken into the cell via coated vesicles that pinch from the plasma membrane. In Paramecium the resulting vesicles fuse with flattened cisterna called early endosomes. Early endosomes accumulate just under the cortex of the cell. Sorting of proteins destined to be returned to the plasma membrane after separating from cargo occurs in the early endosomes and is facilitated by the formation of secondary coated pits and vesicles on the early endosomes that are smaller than the coated and uncoated preendosomal vesicles that arise from the plasma membrane. These small coated pits pinch off and subsequently lose their coats to form carrier vesicles that are roughly 100nm in diameter. These vesicles move deeper into the cell where they bind to microtubular ribbons. TEM taken on 11/4/68 by R. Allen with Philips 300 operating at 60kV. Neg. 20,500X.	transmission electron microscopy (TEM)	cell by organism	coated pit	doi:10.7295/W9CIL39139	Paramecium caudatum
27	40555	Immunogold label specific for Q2 antigen on discoidal vesicles. The same mAb used in CIL:36721 heavily labels discoidal vesicles and less heavily the cytopharyngeal membrane. A few gold particles are also found on the acidosomes. The distribution of this label confirms that the discoidal vesicles fuse with the cytopharynx to form the phagosome. TEM taken on 10/24/92 by R. Allen with Zeiss 10A operating at 80kV. Neg. 12,000X.	transmission electron microscopy (TEM)	cell by organism	early phagosome	doi:10.7295/W9CIL40555	Paramecium multimicronucleatum
28	12590	Immuno-gold labeling of corn stunt spiroplasma (CSS, Spiroplasma kunkelii, Class Mollicutes) in sieve elements and other phloem cells of infected maize root tissue. In this image, CSS appears to be crossing a sieve pore in the phloem sieve plate. CIL:19128, from the same image group, is a labeled version of this image.  CSS is a wall-less procaryote that causes corn stunt disease and is biologically transmitted by some leafhopper species, e.g. Dalbulus maidis and D. gelbus (Hemiptera, Cicadellidae). Spiroplasma cells are limited by a unit membrane with no cell wall. They can be quasi-spherical, pleiomorphic or maintain a filamentous/spiral form. CSS multiplies in both plant and insect hosts and is transmitted with salivary secretions during feeding of the vector on new host plants. Related images by the same contributors are available in the Library.	transmission electron microscopy (TEM)	plant cell	pore complex	doi:10.7295/W9CIL12590	Spiroplasma kunkelii
29	34753	Longitudinal section through the buccal cavity of the oral region showing portions of 3 membranelles (1, 2 and 3): each membranelle consists of 3 rows of cilia. The oral ribs are seen on the right side of the buccal cavity and are underlain by a filamentous reticulum and by the endoplasmic reticulum. A specialized cytoplasm  covers the posterior left side of the buccal cavity and a single layer of microtubules covers the left side. TEM taken on 2/9/71 by R. Allen with Hitachi HU11A operating at 75kV. Neg. 6,000X. Bar = 1µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34744) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	transmission electron microscopy (TEM)	cell by organism	oral apparatus	doi:10.7295/W9CIL34753	Tetrahymena pyriformis
30	9850	Immunogold labeled microtubules next to the cytoproct radiate from basal bodies and also from the tip of the cytoproct. These microtubules lie along the approaching spent DV. b-tubulin immunogold labeled TEM image taken on 7/5/96 by R. Allen with Zeiss 10A operating at 80kV. Neg. 12,000X. Bar = 0.5µm. Cells were lightly fixed with 0.25% glutaraldehyde and infiltrated with 2.3M sucrose before being frozen in liquid nitrogen and thin sectioned at a temperature of –100°C at approximately 75nm thickness. Frozen sections from these preparations were then thawed, washed, and exposed to a monoclonal primary antibody that was raised in mice or rabbit/goat and to colloidal gold-complexed goat-anti-mouse/rabbit secondary antibodies. Further details of preparation are detailed in Methods Cell Biol. 2010;96:143-73. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:1307) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	transmission electron microscopy (TEM)	cell by organism	cell cortex	doi:10.7295/W9CIL9850	Paramecium tetraurelia
31	12083	A high resolution view of the radial arm of the Contractile Vacuole Complex or CVC each contain a collecting canal enclosed by a microtubular ribbon split lengthwise into several smaller ribbons, a meshwork of smooth spongiome and, peripheral to this, the bundles of tubules of the decorated spongiome. The microtubules along the collecting canal are immunogold-labeled with anti-b-tubulin as are some single microtubules in the area. TEM taken on 7/8/96 by R. Allen with Zeiss 10A operating at 80kV. Neg. 7,900X.	transmission electron microscopy (TEM)	cell by organism	contractile vacuole	doi:10.7295/W9CIL12083	Paramecium tetraurelia
32	17445	We raised a monoclonal antibody in mouse to an antigen called C6 found on the surface of Paramecium. As seen in this micrograph the gold heavily labels the ciliary membrane and cell surface. In addition the gold is found in the parasomal sacs, in preendosomal vesicles and in early endosomes. However, there is almost no gold in the small coated evaginations of the early endosome or in the carrier vesicles escaping from the early endosomes. We conclude that this antigen passes no further into the cell and is recycled back to the plasma membrane. This antigen could be a cargo receptor that is cycled between the plasma membrane and the early endosome. The cargo may fall off this receptor in the early endosome and be concentrated in the small coated evaginations as is HRP for transport deeper into the cell. TEM taken on 5/14/91 by R. Allen with Zeiss 10A operating at 80kV. Neg. 12,000X. Bar = 0.5µm. Published in J. Cell Sci. 101:449-461, 1992. Adapted with permission from J. Cell Sci. 101:449-461, 1992. Cells were lightly fixed with 0.25% glutaraldehyde and infiltrated with 2.3M sucrose before being frozen in liquid nitrogen and thin sectioned at a temperature of –100°C at approximately 75nm thickness. Frozen sections from these preparations were then thawed, washed, and exposed to a monoclonal primary antibody that was raised in mice or rabbit/goat and to colloidal gold-complexed goat-anti-mouse/rabbit secondary antibodies. Further details of preparation are outlined in Methods Cell Biol. 2010;96:143-73. negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:12641) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).	transmission electron microscopy (TEM)	cell by organism	plasma membrane	doi:10.7295/W9CIL17445	Paramecium multimicronucleatum
33	43501	Transmission electron micrograph of a thin section of a HeLa cell treated to reveal components of the endocytic pathway. Epidermal growth factor (EGFR) is labeled with 10 nm immuno-gold particles and the localization of transferrin (Tf) is seen as an electron dense product as a result of treatment with Tf conjugated to horse radish peroxidase followed by diamino benzidine. E, early endosome M, late endosome (multivesicular body) L, lysozome Arrowheads denote gold particles Scale bar 500 nm	transmission electron microscopy (TEM)	cervical epithelium	early endosome	doi:10.7295/W9CIL43501	Homo sapiens
34	48102	Cryopreserved human mammary epithelial cells were revived and stained for cytokeratin 18 (in red) to reveal the keratin-containing intermediate filaments found in the intracytoplasmic cytoskeleton of epithelial tissue, E-cadherin (in green) to visualize the calcium-dependent cell-cell adhesion glycoprotein, and DAPI (in blue) to label nuclei.	fluorescence microscopy	mammary epithelial cell	cytoskeleton	doi:10.7295/W9CIL48102	Homo sapiens
35	219	This image of endothelial cells from cow lung shows two components of the cytoskeleton, microtubules (green) and actin filaments (red).	fluorescence microscopy	endothelial cell	actin cytoskeleton	doi:10.7295/W9CIL219	Bos primigenius
36	11996	A polymorphic immune cell (red) glides over two spherical V12Ras-transformed mucus-secreting cells (green, possible tumor precursors) in a live three day old zebrafish embryo. This is one of four images in a series that illustrates the movement of the immune cell over the surface of the transformed mucus-secreting cells.	fluorescence microscopy	immune cell	None	doi:10.7295/W9CIL11996	Danio rerio
37	12631	This cross section shows a human fetal testis. Numerous seminiferous tubules appear within a lobe of the testis. It has not been treated with an antibody but is autofluorescent and therefore appears bright green. The image was made from a commercially fixed and section slide that was stained with hematoxylin and eosin and imaged with a Nikon Eclipse inverted microscope	fluorescence microscopy	None	None	doi:10.7295/W9CIL12631	Homo sapiens
38	228	Image shows a metaphase spread revealing the 46 human chromosomes (blue). Telomeres have been labeled using PNA-FISH and appear as pale dots at the ends of each chromatid.	fluorescence microscopy	None	nuclear chromosome	doi:10.7295/W9CIL228	Homo sapiens
39	40968	Fluorescent micrograph of epithelial cells from the bladder wall.  The cells were isolated immediately after collection of a urine specimen and are not fixed.  The image was taken using a standard epi-fluorescent microscope.	fluorescence microscopy	epithelial cell	plasma membrane	doi:10.7295/W9CIL40968	Homo sapiens
40	41642	Fluorescent micrograph of a Tilia tree taken at 10X. Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.	fluorescence microscopy	None	None	doi:10.7295/W9CIL41642	Tilia
42	37133	Transmission electron micrograph of continuous endothelium from a rat diaphram capillary.  Image aIso shows a reticulocyte in the capillary lumen.  Image made available by James D. Jamieson and the Department of Cell Biology, Yale University School of Medicine.	transmission electron microscopy (TEM)	capillary endothelial cell	None	doi:10.7295/W9CIL37133	Rattus
43	11995	A polymorphic immune cell (red) glides over two spherical V12Ras-transformed mucus-secreting cells (green, possible tumor precursors) in a live three day old zebrafish embryo. This is one of four images in a series that illustrates the movement of the immune cell over the surface of the transformed mucus-secreting cells.	fluorescence microscopy	immune cell	None	doi:10.7295/W9CIL11995	Danio rerio
44	215	Zebrafish embryo showing the alignment of cells involved in the formation of the neural tube, which will become the spinal cord and brain.	fluorescence microscopy	neural	None	doi:10.7295/W9CIL215	Danio rerio
45	41628	Fluorescent micrograph of a Xenopus melanophore, showing microtubules (green), microtubule plus ends (red) and nucleus (blue).  Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.	fluorescence microscopy	melanocyte	microtubule cytoskeleton	doi:10.7295/W9CIL41628	Xenopus
46	45501	Differentiated human induced pluripotent stem cells (iPSCs) following differentiation protocol. Cell nuclei were stained with DAPI (blue), nestin (red) and beta3-tubulin/Tuj1 (green). Note the fate decision of some stem cells towards neuronal differentiation (left side) whereas the second type of cells (right side) differentiated towards brain microvascular endothelial cells (right side).	fluorescence microscopy	pluripotent stem cell	None	doi:10.7295/W9CIL45501	Homo sapiens
47	50648	Human umbilical vein endothelial cells stained initially for nuclei with DAPI (blue) and for vascular endothelial cadherin (red).	fluorescence microscopy	Umbilical vein endothelial cell	Vascular endothelial cadherin	doi:10.7295/W9CIL50648	Homo sapiens
48	12008	A polymorphic immune cell (red) glides over two spherical V12Ras-transformed mucus-secreting cells (green, possible tumor precursors) in a live three day old zebrafish embryo. This is one of four images in a series that illustrates the movement of the immune cell over the surface of the transformed mucus-secreting cells.	fluorescence microscopy	immune cell	None	doi:10.7295/W9CIL12008	Danio rerio
49	41633	Fluorescence micrograph showing the cross-section of bulrush (Juncus sp.) leaf, autofluorescing red (chlorophyll on external side of leaf) and blue (vascular bundles). The diameter of the stalk is approximately 3mm.Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.	fluorescence microscopy	None	chlorophyll	doi:10.7295/W9CIL41633	Juncus
50	41643	Fluorescence micrograph of a Pine stem.  Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.	fluorescence microscopy	None	None	doi:10.7295/W9CIL41643	Pinus [NCBITaxon:139271]
51	42101	Patient-derived glioma stem cells treated with a PLK1 (serine/threonine-protein kinase) inhibitor and stained for nuclei (blue), alpha-tubulin (green), phospho-histone H3 (red).	fluorescence microscopy	glioma stem cell	nucleus	doi:10.7295/W9CIL42101	Homo sapiens
52	42511	Fluorescence micrograph of a neuron regenerating in culture. Honorable Mention, 2006 Olympus BioScapes Digital Imaging Competition.	fluorescence microscopy	neuron	growth cone	doi:10.7295/W9CIL42511	Aplysia
54	50661	Human umbilical vein endothelial cells stained initially for nuclei with DAPI (blue) and for vascular endothelial cadherin (red).	fluorescence microscopy	Umbilical vein endothelial cell	Vascular endothelial cadherin	doi:10.7295/W9CIL50661	Homo sapiens
55	12009	A polymorphic immune cell (red) glides over two spherical V12Ras-transformed mucus-secreting cells (green, possible tumor precursors) in a live three day old zebrafish embryo. This is one of four images in a series that illustrates the movement of the immune cell over the surface of the transformed mucus-secreting cells.	fluorescence microscopy	immune cell	None	doi:10.7295/W9CIL12009	Danio rerio
56	240	Two interphase cells with immunofluorescence labeling of actin filaments (purple), microtubules (yellow), and nuclei (green). This image won first place in the Nikon 2003 Small World photo competition.	fluorescence microscopy	None	actin cytoskeleton	doi:10.7295/W9CIL240	None
57	220	Molecules designed to block the expanded CAG repeats characteristic of Huntington"s disease  fluoresce blue in these cultured cells and  prevent the expression of the mutant proteins that cause the disease.	fluorescence microscopy	neuron	None	doi:10.7295/W9CIL220	Mus musculus
58	41467	Fluorescent image of serum starved fibroblasts created from four images stitched together. Image shows the microtubules (green) and nucleus (red).  Ninth Prize, 2007 Olympus BioScapes Digital Imaging Competition.	fluorescence microscopy	fibroblast	nucleus	doi:10.7295/W9CIL41467	Mus musculus
59	41634	Fluorescence micrograph of young sporangia, an enclosure in which spores are formed, of slime mold Arcyria stipata.  Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.	fluorescence microscopy	spore	sporangium	doi:10.7295/W9CIL41634	Arcyria stipata
60	40973	Fluorescent micrograph of a Drosophila melanogaster reproductive system highlighting the muscular and neural structure fruitfly ovaries and uterus.  The background staining of the eggs in red is a specific function of the mutant fly strain that is pictured here. Seventh Prize, 2011 Olympus BioScapes Digital Imaging Competition®.	fluorescence microscopy	egg	None	doi:10.7295/W9CIL40973	Drosophila melanogaster
62	187	The image shows a developing Drosophila spermatid immunostained for caspase activity (green). TRITC-phalloidin is used to label actin (red).  Caspase is required in spermiogenesis for the elimination of unwanted organelles and cytoplasm via apoptosis.	fluorescence microscopy	spermatid	cytoplasm	doi:10.7295/W9CIL187	Drosophila melanogaster
63	39469	Fluorescent micrograph of stage V-VI Xenopus laevis oocytes surrounded by thousands of follicle cells, as visualized by Hoechst staining.	fluorescence microscopy	oocyte	nucleus	doi:10.7295/W9CIL39469	Xenopus laevis
64	48101	Cryopreserved human hair follicle dermal papilla cells were revived and stained for vimentin (in green) to reveal cytoskeleton, and DAPI (in blue) to label nuclei.	fluorescence microscopy	hair follicle dermal papilla cell	Intermediate filament,	doi:10.7295/W9CIL48101	Homo sapiens
65	10276	After over-night serum starvation, mouse fibroblast expressing Dyn2-GFP were stimulated with 10ng/ml PDGF. After 5min, the cells were fixed and stained with rhodamine-phalloidin. PDGF-induced dorsal membrane ruffle was indicated by F-actin staining, and the enrichment of dynamin to the membrane ruffle was shown by their co-localization. Biological Source Mus musculus ES cell derived fibroblast PDGF-induced macropinocytosis PFA fixation Biological Context and Probe PDGF-induced dorsal membrane ruffle, Dyn2-GFP and rhodamine-phalloidin Equipment used Inverted Olympus IX-70 microscope with a 100×, 1.35 NA oil-immersion objective Magnification of image 1000x, scale bar indicates 5 um	fluorescence microscopy	fibroblast	dynamin	doi:10.7295/W9CIL10276	Mus musculus
66	1153	The purpose of the dataset C. elegans muscle aging is to deduce the age of the nemathode based on images of muscles.  Images of C. elegans were taken at different chronological ages. This image is part of the day 4 data set. Note that the morphological and chronological ages are not fully correlated due to the variability among individuals even though the individuals are genetically identical. The source for the dataset is Laboratory of Genetics/NIA/NIH.	fluorescence microscopy	muscle cell	actin filament	doi:10.7295/W9CIL1153	Caenorhabditis elegans
67	1160	The purpose of the dataset C. elegans muscle aging is to deduce the age of the nemathode based on images of muscles.  Images of C. elegans were taken at different chronological ages. This image is part of the day 4 data set. Note that the morphological and chronological ages are not fully correlated due to the variability among individuals even though the individuals are genetically identical. The source for the dataset is Laboratory of Genetics/NIA/NIH.	fluorescence microscopy	muscle cell	actin filament	doi:10.7295/W9CIL1160	Caenorhabditis elegans
68	1161	The purpose of the dataset C. elegans muscle aging is to deduce the age of the nemathode based on images of muscles.  Images of C. elegans were taken at different chronological ages. This image is part of the day 4 data set. Note that the morphological and chronological ages are not fully correlated due to the variability among individuals even though the individuals are genetically identical. The source for the dataset is Laboratory of Genetics/NIA/NIH.	fluorescence microscopy	muscle cell	actin filament	doi:10.7295/W9CIL1161	Caenorhabditis elegans
69	248	The distribution of mitochondria (labeled with antibody to heat shock protein 70) in relation to intermediate filaments (labeled with vimentin antibody) 16 hours after release from serum starvation in methanol-fixed 3T3 fibroblasts.Microscope - Zeiss Axioplan IIllumination - Mercury arc lampObjective - 100X oil/1.3 NAIntermediate lens between obj and camera - 0.63XCamera - Axiocam MRM CCDFilters:  1.  Ex 485/20, Em 515-565 BP, dichroic 5102.  Ex 560/40, Em 630/60, dichroic 595	fluorescence microscopy	fibroblast	type III intermediate filament	doi:10.7295/W9CIL248	Mus musculus
70	38936	Confocal micrograph showing Shigella bacteria (pink) invading the intestinal lining. The bacteria infects the cells by high-jacking the cell"s internal actin skeleton (green) to facilitate its entry into the cell and spread into adjoining cells, using polymerizing actin comet tails as several can be seen doing here.  Shigella intestinal infection causes diarrhea and rapid dehydration typical of bacterial dysentery. FITC-labelled phalloidin highlights the actin of the cytoskeleton in green and propidium iodide (a DNA stain) was used to visualise bacteria in pink.	fluorescence microscopy	intestinal epithelial cell	actin cytoskeleton	doi:10.7295/W9CIL38936	Shigella
71	39043	This fluorescent micrograph shows the developing egg chambers within the Drosophila melanogaster (fruit fly) ovary. The egg chambers house the maturing eggs - these are the cells at the tips of the egg chambers that face towards the outside of the image. The other cells present are called nurse cells; they occupy the rest of the chamber and assist the developing egg cells as they increase in size over time to produce a mature egg. The specimen has been stained with phalloidin, which marks the actin in the cells green and a nuclear marker that highlights the nuclei in red.	fluorescence microscopy	egg	actin cytoskeleton	doi:10.7295/W9CIL39043	Drosophila melanogaster
72	41025	Amyotrophic Lateral Sclerosis (ALS, also known as Lou Gehrig"s Disease) motor neurons created from induced Pluripotent Stem (iPS) cells made from the skin cells of an 83-year-old ALS patient. iPS cells gives scientists an opportunity to study ALS in affected human motor neurons and other patient-derived brain cells.  Tenth Prize, 2009 Olympus BioScapes Digital Imaging Competition®.	fluorescence microscopy	motor neuron	neuron projection	doi:10.7295/W9CIL41025	Homo sapiens
73	41734	This image of the vascular system of a chicken embryo taken two days after fertilization is a composite of two different images taken with an upright fluorescent dissecting scope.  The egg"s shell was opened and fluorescent dextran was injected into the lower part of the vascular system.  The heart pumped the dye and revealed the entire vasculature used by the embryo to feed itself from the rich underlying yolk inside the egg. Wellcome Image Award 2012.	fluorescence microscopy	None	None	doi:10.7295/W9CIL41734	Gallus gallus
